@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
 -1+1-1+1-1+1-1+1-1+1,40709,2004,746.380396843,noise,27,23
 -1+1-1+1-1+1-1+1-1+1,106364,3844,1057.55573916,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,316,33,280.270928144,noise,45,5
 -1+1-1+1-1+1-1+1+1+1,26184,1571,480.396267176,noise,43,7
 -1+1-1+1-1+1-1-1+1+1,42567,2130,884.626863003,noise,42,8
 -1+1-1+1-1+1-1+1+1+1,50278,2588,875.283859968,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,99345,4115,1530.22785902,noise,35,15
 -1+1-1+1-1+1-1-1+1+1,8666,524,191.883641958,noise,43,7
 -1+1-1+1-1+1-1+1-1+1,797,48,1500.17355299,noise,25,25
 -1+1-1+1-1+1-1+1+1+1,66959,3072,1297.88467598,noise,44,6
 -1+1-1+1-1+1-1+1-1+1,37029,2628,789.105527878,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,30214,1746,435.307972908,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,18509,1053,602.315698862,noise,39,11
 -1+1-1+1-1+1-1+1-1+1,14580,978,662.310893059,noise,42,8
 -1+1-1+1-1+1-1+1+1+1,59259,2456,1491.47279692,noise,46,4
 -1+1-1+1-1+1-1+1+1-1,56286,2973,640.975046873,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,32147,2530,2048.94547701,noise,44,6
 -1+1-1+1-1+1-1+1-1+1,11341,1325,425.852889061,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,79962,3212,628.007539988,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,30827,1755,3171.83428788,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,1142,111,835.854290962,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,4456,409,855.250813961,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,6464,603,578.163979053,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,96226,3712,984.663742781,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,10020,804,596.609414101,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,26897,1625,801.593421936,noise,41,9
 -1+1-1+1-1+1-1+1+1-1,13816,1451,693.569349051,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,11220,659,673.955103159,noise,40,10
 -1+1-1+1-1+1-1+1-1+1,20252,1375,841.3338871,noise,30,20
 -1+1-1+1-1+1-1+1+1+1,28742,2389,1208.49060583,noise,46,4
 -1+1-1+1-1+1-1+1+1-1,117,11,1405.40302587,noise,45,5
 -1+1-1+1-1+1-1+1-1-1,29966,1901,789.371916056,noise,37,13
 -1+1-1+1-1+1-1+1+1+1,71732,3440,588.51434207,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,19931,1031,1485.36874199,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,45499,2466,672.015614986,noise,45,5
 -1+1-1+1-1+1-1-1+1+1,195,88,114.289600134,noise,25,25
 -1+1-1+1-1+1-1-1,3,5,59.2385931015,noise,3,5
 -1+1-1+1-1+1-1+1-1-1,30042,1691,650.347905874,noise,33,17
 -1+1-1+1-1+1-1+1+1-1,14308,781,2768.39755893,noise,33,17
 -1+1-1+1-1+1-1+1-1+1,6134,672,496.227064848,noise,43,7
 -1+1-1+1-1+1-1+1+1+1,49774,2656,1301.72910404,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,21365,1443,786.043066978,noise,37,13
 -1+1-1+1-1+1-1+1-1+1,13005,1414,604.319088936,noise,28,22
 -1+1-1+1-1+1-1+1+1+1,10795,662,987.185656071,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,2888,230,949.967596054,noise,43,7
 -1+1-1+1-1+1-1+1+1-1,5,7,3001.25929189,noise,5,7
 -1+1-1+1-1+1-1+1+1+1,92089,3712,748.006979942,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,74964,3266,634.238884926,noise,44,6
 -1+1-1+1-1+1-1+1-1+1,45629,2176,611.059399128,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,18768,1464,1293.34167004,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,17479,1231,741.043178082,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,290,20,21.0426688194,noise,45,5
 -1+1-1+1-1+1-1-1+1+1,545,59,23.3177371025,noise,43,7
 -1+1-1+1-1+1-1+1-1-1,18195,920,624.231835127,noise,35,15
 -1+1-1+1-1+1-1+1+1-1,18167,1487,614.649067163,noise,41,9
 -1+1-1+1-1+1-1-1+1+1,12579,1206,920.866843224,noise,40,10
 -1+1-1+1-1+1-1+1-1+1,48494,2082,682.134627104,noise,45,5
 -1+1-1+1-1+1-1+1-1-1,34215,2654,1413.9133091,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,4075,214,2085.63221884,noise,45,5
